date,open,high,low,close,volume
2016-04-08,1248708.517,1248708.517,1220172.231,1226076.29,251800
2016-04-11,1226076.293,1250676.539,1226076.293,1245756.49,120600
2016-04-12,1249692.521,1260516.629,1245756.481,1254612.57,134000
2016-04-14,1279212.82,1281180.84,1268388.712,1279212.82,335300
2016-04-15,1288068.909,1289052.919,1269372.721,1279212.82,136500
2016-04-18,1274292.771,1284132.869,1271340.741,1278228.81,128400
2016-04-19,1273308.759,1275276.779,1262484.651,1267404.7,144700
2016-04-20,1261500.642,1279212.82,1261500.642,1278228.81,171900
2016-04-21,1279212.819,1280196.829,1267404.701,1273308.76,145000
2016-04-22,1273308.758,1273308.758,1256580.59,1259532.62,114800
2016-04-25,1264452.669,1264452.669,1250676.531,1260516.63,91900
2016-04-26,1264452.672,1284132.869,1262484.652,1275276.78,166900
2016-04-27,1273308.761,1279212.82,1265436.682,1279212.82,165900
2016-04-28,1279212.825,1279212.825,1240836.441,1244772.48,293000
2016-04-29,1239852.428,1246740.497,1222140.25,1225092.28,325000
2016-05-02,1227060.3,1241820.448,1225092.281,1230012.33,140500
2016-05-03,1246740.499,1249692.529,1235916.391,1240836.44,158000
2016-05-04,1251660.543,1269372.72,1241820.444,1269372.72,294000
2016-05-09,1269372.721,1279212.82,1264452.672,1278228.81,274300
2016-05-10,1278228.81,1279212.819,1267404.701,1275276.78,171100
2016-05-11,1275276.779,1278228.809,1266420.691,1271340.74,176600
2016-05-12,1271340.738,1271340.738,1254612.571,1260516.63,152300
2016-05-13,1260516.636,1260516.636,1230996.34,1232964.36,245600
2016-05-16,1232964.359,1242804.458,1227060.3,1228044.31,234400
2016-05-17,1229028.322,1244772.48,1229028.322,1243788.47,183600
2016-05-18,1243788.461,1250676.53,1234932.372,1247724.5,183300
2016-05-19,1247724.5,1256580.589,1245756.481,1249692.52,200200
2016-05-20,1249692.52,1259532.618,1248708.51,1248708.51,159200
2016-05-23,1248708.512,1265436.68,1248708.512,1265436.68,162200
2016-05-24,1265436.678,1268388.707,1247724.5,1250676.53,208600
2016-05-25,1262484.652,1277244.8,1253628.563,1274292.77,237200
2016-05-26,1278228.81,1282164.849,1274292.77,1275276.78,253000
2016-05-27,1279212.817,1280196.827,1252644.551,1261500.64,274800
2016-05-30,1276260.788,1276260.788,1253628.561,1259532.62,206300
2016-05-31,1259532.622,1279212.819,1247724.503,1271340.74,1250500
2016-06-01,1277244.805,1319557.229,1274292.775,1311685.15,470000
2016-06-02,1328413.312,1350061.529,1324477.273,1343173.46,476100
2016-06-03,1348093.511,1356949.6,1342189.452,1354981.58,341300
2016-06-07,1363837.672,1379581.829,1357933.612,1375645.79,462800
2016-06-08,1396309.998,1396309.998,1366789.702,1383517.87,376100
2016-06-09,1385485.883,1407134.1,1383517.863,1407134.1,515300
2016-06-10,1401230.048,1402214.057,1381549.85,1383517.87,289600
2016-06-13,1373677.767,1373677.767,1340221.431,1349077.52,304900
2016-06-14,1349077.521,1363837.669,1347109.502,1357933.61,245400
2016-06-15,1362853.654,1393357.96,1360885.634,1390405.93,306600
2016-06-16,1390405.939,1394341.979,1372693.762,1386469.9,292400
2016-06-17,1387453.902,1412054.149,1387453.902,1403198.06,328300
2016-06-20,1404182.071,1424846.278,1403198.061,1408118.11,270300
2016-06-21,1409102.122,1425830.29,1403198.063,1424846.28,200400
2016-06-22,1422878.26,1426814.299,1408118.112,1421894.25,178900
2016-06-23,1420910.238,1421894.248,1404182.07,1407134.1,225100
2016-06-24,1421894.254,1421894.254,1338253.415,1377613.81,411000
2016-06-27,1377613.81,1382533.859,1362853.662,1375645.79,236700
2016-06-28,1367773.711,1381549.849,1356949.603,1376629.8,214300
2016-06-29,1386476.935,1390415.79,1369736.801,1374660.37,210500
2016-06-30,1386476.937,1422911.345,1375645.085,1403217.07,273400
2016-07-01,1405186.494,1456391.609,1405186.494,1443590.33,287800
2016-07-04,1441620.903,1451468.04,1428819.624,1443590.33,159900
2016-07-05,1443590.329,1452452.752,1439651.474,1446544.47,157400
2016-07-06,1424880.767,1429804.336,1390415.786,1399278.21,334900
2016-07-07,1399278.212,1427834.91,1394354.643,1427834.91,229900
2016-07-08,1427834.913,1452452.756,1426850.199,1437682.05,269900
2016-07-11,1437682.052,1477070.601,1437682.052,1466238.75,281100
2016-07-12,1476085.891,1481994.173,1437682.055,1441620.91,220400
2016-07-13,1473131.746,1473131.746,1440636.193,1458361.04,200100
2016-07-14,1458361.039,1477070.6,1453437.47,1477070.6,248600
2016-07-15,1477070.603,1498734.305,1463284.61,1494795.45,232400
2016-07-18,1494795.444,1509566.15,1477070.597,1509566.15,231300
2016-07-19,1504642.581,1516459.146,1498734.299,1509566.15,202400
2016-07-20,1509566.154,1518428.577,1500703.73,1516459.15,155400
2016-07-21,1516459.149,1523352.145,1513505.008,1519413.29,170800
2016-07-22,1482978.883,1504642.585,1482978.883,1492826.02,171700
2016-07-25,1477070.603,1499719.018,1472147.034,1479040.03,154600
2016-07-26,1477070.598,1507596.724,1475101.171,1506612.01,144500
2016-07-27,1488887.164,1505627.297,1488887.164,1503657.87,126700
2016-07-28,1509566.157,1512520.298,1475101.176,1483963.6,190000
2016-07-29,1496764.879,1533199.287,1487902.455,1515474.44,299700
2016-08-01,1545015.844,1555847.695,1536153.42,1544031.13,230300
2016-08-02,1544031.135,1544031.135,1522367.433,1524336.86,166300
2016-08-03,1524336.856,1524336.856,1493810.73,1493810.73,150000
2016-08-04,1495780.157,1509566.15,1493810.73,1493810.73,140100
2016-08-05,1505627.3,1540092.281,1501688.446,1537138.14,139100
2016-08-08,1542061.709,1550924.132,1532214.571,1545015.85,222500
2016-08-09,1549939.416,1554862.985,1533199.283,1543046.42,180400
2016-08-10,1543046.417,1546000.558,1510550.864,1517443.86,246800
2016-08-11,1517443.863,1535168.71,1502673.157,1535168.71,210600
2016-08-12,1535168.712,1546000.563,1520398.006,1521382.72,209400
2016-08-16,1521382.714,1551908.84,1521382.714,1544031.13,216800
2016-08-17,1545015.851,1546000.565,1527291.004,1542061.71,148900
2016-08-18,1543046.418,1618869.375,1542061.704,1614930.52,366500
