datetime,ticks,open,high,low,close,volume,buy/sell,bid/ask
2016-08-01 22:33:12,70,2179.5,2179.75,2179.5,2179.75,1500,0.798561151,1.029699023
2016-08-01 22:33:23,44,2179.75,2180.25,2179.75,2180,1500,0.932989691,0.831649832
2016-08-01 22:33:31,54,2180,2180.5,2180,2180.5,1500,3.601226994,0.679939516
2016-08-01 22:33:44,53,2180.5,2181,2180.5,2180.75,1500,4.494505495,0.813753582
2016-08-01 22:33:52,37,2180.75,2181,2180.5,2180.5,1500,1.196193265,0.924985462
2016-08-01 22:34:01,26,2180.5,2180.5,2180.25,2180.5,1500,0.752336449,1.065410669
2016-08-01 22:34:05,46,2180.5,2180.5,2180,2180.25,1500,0.538461538,1.085227273
2016-08-01 22:34:24,65,2180.25,2180.25,2179.5,2179.5,1500,0.973684211,1.082456476
2016-08-01 22:34:41,22,2179.5,2179.5,2179.25,2179.25,1500,0.177394035,1.133260712
2016-08-01 22:34:42,26,2179.25,2179.25,2179,2179.25,1500,0.185770751,0.994036526
2016-08-01 22:34:44,15,2179.25,2179.25,2179,2179.25,1500,124,0.893052019
2016-08-01 22:34:46,47,2179.25,2179.75,2179.25,2179.5,1500,1.673796791,0.884074074
2016-08-01 22:34:54,69,2179.5,2179.75,2179.25,2179.75,1500,1.923976608,1.147632312
2016-08-01 22:35:05,31,2179.75,2180,2179.5,2179.75,1500,0.45631068,1.277276456
2016-08-01 22:35:08,42,2179.75,2179.75,2179.25,2179.25,1500,0.119402985,1.526315789
2016-08-01 22:35:23,33,2179.25,2179.25,2178.5,2178.5,1500,0.010781671,1.029496819
2016-08-01 22:35:26,48,2178.5,2179,2178.5,2179,1500,0.913265306,1.316987741
2016-08-01 22:35:30,32,2179,2179,2178.5,2178.5,1500,0.170960187,1.316987741
2016-08-01 22:35:32,40,2178.5,2178.5,2178,2178.25,1500,0.908396947,1.10812944
2016-08-01 22:35:35,134,2178.25,2178.75,2178,2178,1500,1.222222222,1.237297921
2016-08-01 22:35:51,39,2178,2178.25,2178,2178,1500,0.040943789,1.231599607
2016-08-01 22:35:56,28,2178,2178.25,2178,2178.25,1500,0.867995019,1.162871795
2016-08-01 22:36:00,38,2178.25,2178.25,2177.5,2177.75,1500,0.150306748,1.356869417
2016-08-01 22:36:02,39,2177.75,2178,2177.5,2177.75,1500,3.437869822,1.082529053
2016-08-01 22:36:04,31,2177.75,2178.5,2177.75,2178.5,1500,15.66666667,1.109191857
2016-08-01 22:36:09,48,2178.5,2178.75,2178,2178,1500,1.024291498,1.385856354
2016-08-01 22:36:15,66,2178,2178.25,2177.75,2178,1500,1.419354839,1.095665172
